lat,lng,name,address,date,vtemp,vcook,vhygiene,vcontam,vsource
37.8573969,-122.2532204,SUMMER KITCHEN,2944 COLLEGE AVE,4/3/2012,0,0,0,0,0
37.8576576,-122.2532154,LA MEDITERRANEE,2936 COLLEGE AVE,7/17/2012,1,0,0,0,0
37.8643174,-122.3141384,HANA JAPAN STEAK HOUSE,235 UNIVERSITY AVE,1/31/2012,0,0,0,1,0
37.868635,-122.313763,DOUBLETREE,200 MARINA BLVD,3/26/2012,0,0,0,0,0
37.8476489,-122.281556,A Z MARKET,1279 ALCATRAZ AVE,1/27/2012,0,0,0,0,0
37.8568069,-122.2530439,RIALTO THEATERS,2964 COLLEGE AVE,4/25/2012,0,0,0,0,0
37.856723,-122.253521,ASHBY MARKET PLACE,2642 ASHBY AVE,5/14/2012,0,0,0,0,0
37.8853029,-122.2744647,XTRA OIL CO/CHEVRON,1201 THE ALAMEDA,9/19/2011,0,0,0,0,0
37.8570329,-122.2530593,ESPRESSO ROMA,2960 COLLEGE AVE,5/14/2012,1,0,0,0,0
37.8557241,-122.257135,ALTA BATES FOOD SERVICE,2450 ASHBY AVE,1/27/2012,0,0,0,0,0
37.891567,-122.280807,KIRIN RESTAURANT,1767 SOLANO AVE,7/25/2012,1,0,0,1,0
37.8916776,-122.2777471,NOAH'S BAGELS,1883 SOLANO AVE,3/12/2012,0,0,0,0,0
37.8916731,-122.2778211,CACTUS TACQUERIA SOLANO,1881 SOLANO AVE,5/16/2012,0,0,0,0,0
37.8918441,-122.2784813,ZACHARY'S CHICAGO PIZZA,1853 SOLANO AVE,2/15/2012,0,0,0,0,0
37.891671,-122.278879,A.G. FERRARI FOODS,1843 SOLANO AVE,PENDING,-1,-1,-1,-1,-1
37.891649,-122.279267,NATURE'S EXPRESS,1823 SOLANO AVE,4/2/2012,0,0,0,1,0
37.891149,-122.2789,SOLANO UNOCAL,1830 SOLANO AVE,1/18/2012,0,0,0,0,0
37.8912373,-122.2815315,SWEET BASIL,1734 SOLANO AVE,5/9/2012,1,0,0,0,0
37.8541782,-122.2597237,MOKKA,3075 TELEGRAPH AVE,7/19/2012,0,0,0,0,0
37.891212,-122.286307,RIVOLI RESTAURANT,1539 SOLANO AVE,11/2/2011,0,0,0,0,0
37.8914143,-122.28223,VANESSA'S BISTRO,1715 SOLANO AVE,11/28/2011,0,0,0,0,0
37.891461,-122.282569,KING TSIN,1699 SOLANO AVE,3/19/2012,0,0,0,1,0
